x__0,x__1,x__2,y:label
-0.056000,-1.032000,-0.032000,normal
-0.056000,0.728000,-0.720000,back
0.020000,0.008000,0.996000,front
-1.092000,0.008000,0.000000,right
-0.060000,0.732000,-0.732000,back
-1.080000,0.008000,0.004000,right
0.012000,0.012000,0.996000,front
-0.060000,0.736000,-0.732000,back
-1.080000,0.012000,0.004000,right
-0.068000,0.728000,-0.728000,back
-0.052000,-1.032000,-0.028000,normal
-0.056000,-1.028000,-0.028000,normal
-0.060000,0.728000,-0.728000,back
-0.060000,0.732000,-0.728000,back
-0.068000,0.736000,-0.736000,back
-0.056000,-1.036000,-0.028000,normal
0.016000,0.008000,0.992000,front
-1.092000,0.000000,0.004000,right
-0.064000,0.732000,-0.724000,back
-0.052000,-1.028000,-0.032000,normal
-0.056000,-1.036000,-0.028000,normal
-1.096000,0.004000,0.000000,right
0.012000,0.004000,1.004000,front
0.016000,0.012000,1.004000,front
-0.060000,-1.028000,-0.028000,normal
-0.064000,0.732000,-0.732000,back
0.956000,0.024000,0.212000,left
-0.052000,-1.032000,-0.028000,normal
-1.088000,0.008000,0.004000,right
-0.064000,0.736000,-0.732000,back
0.008000,0.004000,1.000000,front
-0.068000,0.736000,-0.724000,back
-1.084000,0.008000,0.000000,right
0.012000,0.004000,0.996000,front
-0.052000,-1.036000,-0.032000,normal
-1.080000,0.000000,-0.004000,right
-0.052000,-1.032000,-0.024000,normal
-1.092000,0.008000,0.000000,right
-1.088000,0.012000,-0.004000,right
-0.060000,0.728000,-0.728000,back
0.956000,0.028000,0.208000,left
0.960000,0.032000,0.208000,left
-1.092000,0.012000,-0.004000,right
-0.052000,-1.032000,-0.024000,normal
-1.088000,0.004000,0.000000,right
-0.048000,-1.036000,-0.028000,normal
0.960000,0.032000,0.204000,left
0.960000,0.016000,0.204000,left
0.956000,0.028000,0.208000,left
0.012000,0.012000,0.996000,front
-0.056000,0.728000,-0.728000,back
-0.068000,0.728000,-0.736000,back
-0.064000,0.732000,-0.732000,back
-0.064000,0.732000,-0.724000,back
-1.084000,0.012000,-0.008000,right
-0.060000,0.720000,-0.732000,back
-0.068000,0.732000,-0.732000,back
0.960000,0.032000,0.212000,left
-1.084000,0.004000,-0.004000,right
0.952000,0.032000,0.212000,left
0.960000,0.028000,0.208000,left
0.960000,0.032000,0.200000,left
-1.092000,0.004000,0.004000,right
0.952000,0.024000,0.208000,left
-0.052000,-1.028000,-0.024000,normal
0.012000,0.008000,0.992000,front
-1.080000,0.008000,0.004000,right
0.956000,0.032000,0.208000,left
-0.060000,0.736000,-0.728000,back
0.956000,0.024000,0.208000,left
0.956000,0.024000,0.208000,left
0.012000,0.000000,0.996000,front
-0.068000,0.740000,-0.724000,back
-1.092000,0.000000,0.004000,right
-0.064000,0.732000,-0.732000,back
-0.056000,-1.036000,-0.032000,normal
0.956000,0.028000,0.212000,left
-0.064000,0.732000,-0.728000,back
-0.064000,0.728000,-0.728000,back
0.008000,0.008000,1.000000,front
0.008000,0.012000,0.988000,front
-0.060000,0.728000,-0.732000,back
-0.052000,-1.036000,-0.032000,normal
-0.056000,0.732000,-0.728000,back
-1.088000,0.008000,0.000000,right
-0.052000,-1.036000,-0.020000,normal
0.952000,0.024000,0.212000,left
-0.064000,0.736000,-0.728000,back
-1.088000,0.004000,0.000000,right
0.008000,0.004000,0.996000,front
-0.060000,-1.032000,-0.032000,normal
-0.056000,-1.040000,-0.028000,normal
-1.092000,0.008000,0.000000,right
-1.092000,0.004000,0.004000,right
-1.088000,0.008000,0.004000,right
0.012000,0.008000,0.992000,front
-1.084000,0.008000,-0.004000,right
-0.056000,-1.032000,-0.032000,normal
-0.052000,-1.040000,-0.024000,normal
-0.064000,-1.032000,-0.028000,normal
-1.084000,0.016000,0.000000,right
0.956000,0.024000,0.204000,left
-1.084000,0.004000,-0.004000,right
0.012000,0.000000,1.000000,front
0.012000,0.004000,0.992000,front
0.008000,0.008000,0.996000,front
-0.052000,-1.032000,-0.020000,normal
-0.048000,-1.032000,-0.024000,normal
-0.056000,-1.032000,-0.032000,normal
0.956000,0.024000,0.204000,left
0.960000,0.024000,0.212000,left
-0.064000,0.728000,-0.728000,back
0.952000,0.028000,0.204000,left
0.956000,0.020000,0.208000,left
-0.056000,-1.028000,-0.024000,normal
0.016000,0.004000,1.000000,front
0.952000,0.024000,0.212000,left
0.016000,0.012000,1.000000,front
-0.052000,-1.032000,-0.024000,normal
0.956000,0.028000,0.212000,left
-1.084000,0.008000,-0.004000,right
-0.052000,-1.036000,-0.032000,normal
0.956000,0.032000,0.216000,left
-1.088000,0.000000,-0.004000,right
-0.060000,0.732000,-0.724000,back
0.956000,0.036000,0.212000,left
-1.088000,0.004000,0.004000,right
-1.084000,0.008000,0.000000,right
0.952000,0.028000,0.204000,left
0.956000,0.020000,0.208000,left
-0.068000,0.728000,-0.736000,back
-0.056000,-1.032000,-0.032000,normal
-0.056000,-1.032000,-0.032000,normal
0.008000,0.008000,1.000000,front
0.956000,0.028000,0.208000,left
-0.048000,-1.032000,-0.032000,normal
-0.060000,0.724000,-0.716000,back
-0.060000,-1.032000,-0.024000,normal
0.948000,0.024000,0.208000,left
0.960000,0.028000,0.208000,left
-1.080000,0.008000,0.004000,right
0.016000,0.004000,0.996000,front
0.008000,0.012000,1.012000,front
0.016000,0.012000,1.004000,front
-0.060000,0.728000,-0.724000,back
0.012000,0.012000,1.000000,front
-0.056000,-1.032000,-0.028000,normal
-1.084000,0.008000,0.000000,right
0.008000,0.008000,0.992000,front
-1.088000,0.012000,-0.008000,right
0.956000,0.024000,0.204000,left
-0.060000,0.732000,-0.728000,back
-0.052000,-1.032000,-0.024000,normal
-0.052000,-1.032000,-0.032000,normal
-1.092000,0.008000,0.004000,right
0.008000,0.004000,0.996000,front
0.956000,0.024000,0.212000,left
0.012000,0.004000,1.000000,front
-0.064000,0.732000,-0.724000,back
0.020000,0.008000,0.996000,front
-0.056000,0.732000,-0.736000,back
0.016000,0.008000,0.996000,front
-1.092000,0.008000,0.004000,right
-0.052000,-1.040000,-0.032000,normal
-0.052000,-1.032000,-0.024000,normal
-0.064000,0.736000,-0.728000,back
0.952000,0.028000,0.212000,left
0.008000,0.004000,0.996000,front
0.956000,0.024000,0.200000,left
-0.056000,0.732000,-0.728000,back
0.952000,0.024000,0.204000,left
0.952000,0.028000,0.204000,left
-1.080000,0.008000,-0.004000,right
-1.088000,0.008000,0.000000,right
0.012000,0.004000,0.996000,front
-1.084000,0.004000,-0.004000,right
0.952000,0.032000,0.216000,left
0.956000,0.032000,0.208000,left
-0.068000,0.728000,-0.732000,back
-1.084000,0.004000,0.000000,right
-0.052000,-1.032000,-0.028000,normal
-0.060000,0.724000,-0.728000,back
0.016000,0.008000,0.996000,front
-0.060000,-1.032000,-0.024000,normal
0.952000,0.020000,0.208000,left
-0.060000,0.728000,-0.728000,back
0.956000,0.024000,0.212000,left
-0.064000,0.728000,-0.728000,back
0.960000,0.028000,0.208000,left
-1.084000,0.004000,0.000000,right
-0.064000,0.736000,-0.732000,back
0.012000,0.016000,1.004000,front
-1.092000,0.004000,0.008000,right
-1.092000,0.000000,0.000000,right
-0.060000,0.732000,-0.728000,back
0.012000,0.008000,0.996000,front
-0.052000,-1.032000,-0.032000,normal
0.956000,0.028000,0.204000,left
0.956000,0.024000,0.216000,left
0.964000,0.040000,0.196000,left
-1.080000,0.004000,-0.004000,right
-0.060000,0.728000,-0.724000,back
0.012000,0.004000,0.996000,front
-0.060000,0.732000,-0.724000,back
-0.064000,0.736000,-0.724000,back
-0.064000,0.736000,-0.720000,back
0.012000,0.004000,1.000000,front
-0.056000,0.736000,-0.724000,back
0.012000,0.008000,0.996000,front
-0.056000,-1.028000,-0.028000,normal
-1.092000,0.004000,-0.004000,right
-0.056000,-1.036000,-0.032000,normal
0.952000,0.024000,0.208000,left
0.948000,0.028000,0.208000,left
-1.084000,0.008000,-0.008000,right
-1.096000,0.012000,0.004000,right
0.012000,0.012000,0.992000,front
-1.088000,0.008000,-0.004000,right
-1.084000,0.004000,0.000000,right
0.960000,0.032000,0.216000,left
0.016000,0.008000,1.000000,front
-0.052000,-1.032000,-0.028000,normal
-0.068000,0.732000,-0.732000,back
-0.056000,-1.032000,-0.024000,normal
-0.060000,0.732000,-0.732000,back
0.952000,0.036000,0.208000,left
-0.052000,-1.028000,-0.032000,normal
0.960000,0.024000,0.208000,left
0.024000,0.008000,0.996000,front
-0.056000,-1.028000,-0.036000,normal
-1.092000,0.004000,0.008000,right
-1.088000,0.004000,-0.004000,right
-0.064000,0.728000,-0.724000,back
0.960000,0.028000,0.204000,left
0.020000,0.012000,1.000000,front
-0.056000,-1.036000,-0.028000,normal
-0.048000,-1.028000,-0.032000,normal
0.020000,0.004000,0.996000,front
0.008000,0.000000,0.992000,front
-0.064000,0.728000,-0.728000,back
0.016000,0.004000,0.992000,front
0.960000,0.024000,0.212000,left
-0.064000,0.728000,-0.724000,back
-0.064000,0.736000,-0.720000,back
-1.088000,0.000000,-0.004000,right
0.016000,0.008000,0.996000,front
0.016000,0.012000,1.000000,front
0.008000,0.004000,0.996000,front
0.960000,0.028000,0.212000,left
0.008000,0.004000,0.996000,front
0.016000,0.008000,1.000000,front
0.012000,0.008000,1.000000,front
-0.060000,-1.032000,-0.028000,normal
0.016000,0.004000,0.996000,front
-1.088000,0.004000,0.008000,right
-0.056000,0.728000,-0.732000,back
-1.088000,0.008000,0.004000,right
0.012000,0.000000,0.996000,front
-0.056000,-1.036000,-0.028000,normal
0.964000,0.024000,0.212000,left
-0.048000,-1.032000,-0.032000,normal
-0.068000,0.724000,-0.724000,back
-1.084000,0.000000,-0.004000,right
-0.060000,0.724000,-0.728000,back
0.956000,0.028000,0.208000,left
-0.056000,-1.028000,-0.028000,normal
0.016000,0.004000,1.000000,front
0.956000,0.028000,0.200000,left
-0.060000,-1.040000,-0.028000,normal
-0.068000,0.732000,-0.728000,back
-0.052000,-1.032000,-0.028000,normal
-0.052000,-1.028000,-0.024000,normal
0.012000,0.012000,1.000000,front
-0.052000,-1.036000,-0.020000,normal
-0.056000,-1.032000,-0.020000,normal
-1.088000,0.012000,0.004000,right
0.956000,0.028000,0.204000,left
-0.060000,0.732000,-0.728000,back
0.952000,0.024000,0.212000,left
-1.088000,0.008000,0.000000,right
-0.064000,0.732000,-0.724000,back
0.960000,0.024000,0.208000,left
-0.056000,-1.036000,-0.028000,normal
-0.060000,0.736000,-0.728000,back
0.956000,0.032000,0.212000,left
-0.056000,-1.032000,-0.024000,normal
-0.056000,-1.032000,-0.028000,normal
0.948000,0.028000,0.212000,left
0.952000,0.024000,0.208000,left
-1.080000,0.000000,-0.004000,right
0.008000,0.008000,0.996000,front
0.016000,0.004000,0.996000,front
-1.088000,0.008000,0.000000,right
-1.088000,0.000000,0.008000,right
-1.076000,0.004000,0.000000,right
-0.052000,-1.028000,-0.032000,normal
0.960000,0.024000,0.212000,left
-1.088000,0.004000,0.000000,right
0.952000,0.028000,0.208000,left
-0.068000,0.728000,-0.724000,back
0.956000,0.028000,0.212000,left
0.012000,0.012000,0.992000,front
-0.060000,0.732000,-0.724000,back
0.012000,0.004000,0.996000,front
0.948000,0.028000,0.216000,left
0.952000,0.024000,0.212000,left
-1.088000,0.012000,0.008000,right
-0.052000,-1.032000,-0.032000,normal
0.956000,0.028000,0.208000,left
-1.092000,0.004000,0.004000,right
-0.048000,-1.032000,-0.032000,normal
-0.064000,0.732000,-0.732000,back
-0.052000,-1.040000,-0.032000,normal
0.956000,0.028000,0.212000,left
-0.052000,-1.032000,-0.032000,normal
-0.068000,0.736000,-0.728000,back
-0.060000,0.732000,-0.732000,back
-0.048000,-1.036000,-0.032000,normal
0.008000,0.004000,0.992000,front
-0.052000,-1.036000,-0.032000,normal
-0.056000,-1.028000,-0.024000,normal
-0.056000,-1.036000,-0.028000,normal
-0.064000,0.732000,-0.732000,back
-0.052000,-1.032000,-0.032000,normal
0.960000,0.024000,0.208000,left
-1.092000,0.004000,0.000000,right
-0.056000,-1.036000,-0.024000,normal
-0.052000,-1.032000,-0.028000,normal
-0.064000,0.732000,-0.724000,back
0.008000,0.008000,0.992000,front
-0.068000,0.724000,-0.728000,back
-1.088000,0.008000,0.000000,right
0.956000,0.028000,0.212000,left
-0.056000,-1.028000,-0.024000,normal
0.952000,0.024000,0.216000,left
0.012000,0.008000,0.992000,front
-0.056000,-1.032000,-0.028000,normal
0.012000,0.016000,0.996000,front
0.016000,0.004000,1.004000,front
-0.052000,-1.024000,-0.028000,normal
0.940000,0.028000,0.216000,left
-1.092000,0.012000,-0.004000,right
-1.088000,0.004000,0.004000,right
0.012000,0.000000,1.000000,front
-0.056000,-1.028000,-0.032000,normal
0.012000,0.004000,0.992000,front
-1.084000,0.012000,-0.012000,right
-0.056000,-1.032000,-0.024000,normal
-1.084000,0.004000,0.008000,right
-0.056000,-1.032000,-0.024000,normal
-0.052000,-1.036000,-0.028000,normal
0.956000,0.028000,0.208000,left
-0.064000,0.736000,-0.728000,back
-1.080000,0.004000,0.000000,right
0.012000,0.004000,0.996000,front
0.008000,0.004000,0.984000,front
-0.052000,-1.032000,-0.032000,normal
-1.084000,0.004000,0.000000,right
-0.060000,0.724000,-0.732000,back
-1.092000,0.008000,0.000000,right
-1.084000,0.008000,0.008000,right
-0.060000,0.732000,-0.724000,back
-1.092000,0.012000,0.008000,right
-0.060000,0.736000,-0.732000,back
-0.048000,-1.036000,-0.024000,normal
-1.080000,0.008000,0.000000,right
0.012000,0.012000,1.000000,front
-0.068000,0.732000,-0.720000,back
-1.096000,0.004000,0.000000,right
-0.048000,-1.040000,-0.024000,normal
0.012000,0.012000,1.000000,front
0.956000,0.024000,0.212000,left
-1.088000,0.004000,0.000000,right
-0.068000,0.728000,-0.728000,back
-1.084000,0.004000,0.000000,right
0.956000,0.024000,0.204000,left
-0.060000,0.732000,-0.728000,back
0.956000,0.036000,0.216000,left
-0.056000,0.728000,-0.724000,back
-0.060000,0.724000,-0.728000,back
-1.084000,0.004000,0.000000,right
0.012000,0.012000,0.996000,front
0.012000,0.004000,0.996000,front
-0.064000,0.732000,-0.720000,back
-1.088000,0.004000,0.004000,right
0.016000,0.012000,0.996000,front
-1.084000,0.004000,0.004000,right
-0.052000,-1.032000,-0.028000,normal
0.016000,0.008000,1.000000,front
-0.048000,-1.032000,-0.032000,normal
-0.068000,0.732000,-0.732000,back
-1.080000,0.008000,-0.004000,right
-0.056000,-1.032000,-0.028000,normal
-0.060000,0.728000,-0.728000,back
0.016000,0.004000,0.996000,front
-0.060000,0.736000,-0.736000,back
0.016000,0.004000,0.996000,front
-1.088000,0.004000,0.000000,right
0.012000,0.008000,1.000000,front
0.956000,0.024000,0.212000,left
-1.084000,0.004000,0.004000,right
-0.064000,0.736000,-0.732000,back
-0.052000,-1.032000,-0.032000,normal
-0.060000,0.728000,-0.724000,back
-0.056000,0.732000,-0.728000,back
-0.052000,0.724000,-0.724000,back
-0.056000,-1.036000,-0.024000,normal
0.960000,0.028000,0.208000,left
-1.096000,0.012000,0.004000,right
0.020000,0.004000,0.992000,front
0.020000,0.012000,0.996000,front
-0.056000,-1.036000,-0.020000,normal
0.956000,0.032000,0.204000,left
0.012000,0.004000,0.996000,front
0.956000,0.028000,0.212000,left
-1.084000,0.004000,0.000000,right
-0.056000,-1.028000,-0.028000,normal
-0.056000,-1.032000,-0.020000,normal
-0.056000,-1.036000,-0.028000,normal
-0.060000,0.732000,-0.720000,back
0.956000,0.028000,0.204000,left
-0.052000,-1.032000,-0.028000,normal
0.012000,0.012000,1.000000,front
0.952000,0.032000,0.216000,left
0.952000,0.024000,0.204000,left
0.956000,0.032000,0.204000,left
-1.084000,0.016000,-0.008000,right
-0.052000,-1.032000,-0.028000,normal
-1.084000,0.008000,-0.004000,right
-1.088000,0.004000,0.000000,right
-0.052000,-1.028000,-0.024000,normal
-0.052000,-1.036000,-0.028000,normal
-0.056000,-1.032000,-0.028000,normal
-0.060000,0.732000,-0.732000,back
0.956000,0.024000,0.208000,left
-1.088000,0.008000,0.008000,right
-1.088000,0.004000,0.012000,right
-0.060000,-1.028000,-0.024000,normal
-0.064000,0.728000,-0.732000,back
0.008000,0.012000,0.996000,front
-0.052000,-1.036000,-0.036000,normal
0.952000,0.024000,0.212000,left
-1.096000,0.008000,0.000000,right
-1.092000,0.008000,0.004000,right
0.952000,0.028000,0.212000,left
-0.056000,-1.028000,-0.028000,normal
0.012000,0.004000,0.996000,front
-0.060000,0.736000,-0.732000,back
0.012000,0.008000,1.000000,front
-0.052000,-1.032000,-0.036000,normal
-1.092000,0.004000,0.008000,right
-0.072000,0.728000,-0.732000,back
-0.064000,0.732000,-0.724000,back
-0.064000,0.724000,-0.732000,back
-0.068000,0.728000,-0.732000,back
-0.052000,-1.032000,-0.028000,normal
-1.080000,0.004000,0.004000,right
-0.056000,-1.028000,-0.032000,normal
0.016000,0.012000,1.000000,front
-0.056000,-1.028000,-0.028000,normal
0.960000,0.024000,0.208000,left
-1.080000,0.008000,0.004000,right
-0.064000,0.732000,-0.732000,back
0.020000,0.008000,1.004000,front
0.016000,0.004000,1.000000,front
-0.060000,0.724000,-0.728000,back
0.948000,0.028000,0.208000,left
-0.056000,-1.036000,-0.024000,normal
-0.060000,0.724000,-0.728000,back
-0.052000,-1.028000,-0.028000,normal
-0.068000,0.736000,-0.724000,back
0.012000,0.004000,1.000000,front
0.012000,0.012000,0.996000,front
0.956000,0.024000,0.204000,left
-0.048000,-1.036000,-0.024000,normal
-0.064000,0.724000,-0.720000,back
0.012000,0.012000,0.992000,front
0.956000,0.028000,0.212000,left
-0.064000,0.736000,-0.728000,back
0.956000,0.032000,0.216000,left
-0.060000,0.724000,-0.728000,back
0.024000,0.008000,0.996000,front
-0.068000,0.728000,-0.728000,back
-0.056000,-1.032000,-0.032000,normal
0.008000,0.000000,0.996000,front
-1.088000,0.000000,0.000000,right
-0.052000,-1.036000,-0.028000,normal
-1.092000,0.008000,0.004000,right
0.004000,0.008000,0.992000,front
0.016000,0.004000,0.992000,front
-0.056000,-1.032000,-0.032000,normal
-1.088000,0.004000,0.000000,right
0.948000,0.028000,0.208000,left
0.956000,0.024000,0.212000,left
-0.068000,0.724000,-0.732000,back
0.020000,0.000000,0.996000,front
-0.068000,0.732000,-0.728000,back
-0.052000,-1.036000,-0.032000,normal
0.012000,0.008000,0.996000,front
0.956000,0.032000,0.212000,left
-0.060000,0.732000,-0.732000,back
-0.060000,-1.028000,-0.036000,normal
-0.052000,-1.032000,-0.024000,normal
0.016000,0.000000,0.996000,front
-0.064000,0.732000,-0.732000,back
0.952000,0.024000,0.216000,left
0.960000,0.028000,0.204000,left
-1.092000,0.008000,0.004000,right
-0.052000,0.732000,-0.732000,back
-1.084000,0.004000,0.000000,right
0.948000,0.028000,0.208000,left
-0.068000,0.732000,-0.732000,back
-0.052000,-1.032000,-0.028000,normal
-0.056000,0.724000,-0.724000,back
0.952000,0.032000,0.212000,left
-0.064000,0.732000,-0.724000,back
-1.092000,0.004000,0.004000,right
0.012000,0.012000,0.992000,front
-0.064000,0.736000,-0.728000,back
-1.088000,0.012000,0.012000,right
-0.060000,0.732000,-0.724000,back
0.952000,0.024000,0.208000,left
0.960000,0.024000,0.212000,left
-0.056000,0.732000,-0.728000,back
-0.064000,0.724000,-0.728000,back
-0.052000,-1.028000,-0.028000,normal
-1.088000,0.004000,-0.004000,right
-0.056000,-1.032000,-0.020000,normal
0.956000,0.024000,0.212000,left
0.008000,0.008000,1.000000,front
-0.056000,-1.036000,-0.028000,normal
0.012000,0.008000,0.992000,front
-0.060000,0.736000,-0.728000,back
-1.092000,0.016000,-0.004000,right
0.008000,0.008000,1.004000,front
-0.060000,0.736000,-0.728000,back
-0.060000,0.724000,-0.720000,back
0.956000,0.028000,0.212000,left
0.012000,0.008000,0.996000,front
0.956000,0.036000,0.216000,left
-0.060000,0.732000,-0.728000,back
0.956000,0.032000,0.216000,left
0.952000,0.032000,0.208000,left
-1.080000,0.012000,0.008000,right
-0.060000,0.732000,-0.724000,back
0.956000,0.028000,0.208000,left
0.016000,0.000000,1.004000,front
-0.052000,-1.028000,-0.036000,normal
-0.056000,-1.032000,-0.024000,normal
-0.056000,-1.032000,-0.032000,normal
-0.056000,-1.028000,-0.028000,normal
0.008000,0.004000,0.996000,front
-0.052000,-1.036000,-0.036000,normal
-0.060000,0.728000,-0.732000,back
0.952000,0.028000,0.208000,left
-0.068000,0.732000,-0.728000,back
-0.056000,0.724000,-0.728000,back
-0.064000,0.728000,-0.732000,back
-0.064000,0.732000,-0.728000,back
0.952000,0.028000,0.204000,left
-0.064000,0.736000,-0.736000,back
0.020000,0.004000,1.000000,front
0.008000,0.000000,1.000000,front
0.948000,0.028000,0.204000,left
0.012000,0.008000,0.992000,front
-1.088000,0.004000,0.000000,right
-1.084000,0.004000,0.000000,right
0.960000,0.032000,0.208000,left
-1.092000,0.004000,-0.004000,right
0.012000,0.004000,1.000000,front
0.016000,0.004000,1.000000,front
-1.084000,0.000000,-0.008000,right
-0.068000,0.728000,-0.728000,back
-1.088000,0.008000,0.004000,right
-0.060000,0.736000,-0.728000,back
0.956000,0.020000,0.204000,left
0.956000,0.024000,0.212000,left
-1.088000,0.004000,0.004000,right
